Document,Primary Introducer,Status,Description,Document ID,Year
LR190,McGill,Referral,"Interim study to examine the 2012 versions of the International Residential Code, the International Building Code, and the International Energy Conservation Code to determine whether Nebraska should update the current state building code",20727,2013
LR191,Krist,Referral,Interim study to examine all state retirement plans administered by the Public Employees Retirement Board,20828,2013
LR192,Avery,Referral,Interim study to examine conducting elections by mail,20781,2013
LR193,Avery,Referral,Interim study to examine the role of political parties in the election process,20782,2013
LR194,Avery,Referral,"Interim study to examine issues under the jurisdiction of the Government, Military and Veterans Affairs Committee",20666,2013
LR195,Brasch,,Congratulate Riley Hancock on achieving the rank of Eagle Scout,20813,2013
LR196,Brasch,,Congratulate Kyle Stang on achieving the rank of Eagle Scout,20812,2013
LR197,Nordquist,,Congratulate the Omaha South High School boys' soccer team for winning the 2013 Class A state championship,20834,2013
LR198,Nebraska Retirement Systems Committee,Referral,Interim study to examine the public employees retirement systems administered by the Public Employees Retirement Board,20711,2013
LR199,Mello,Referral,"Interim study to acquire additional information, including financial requirements, regarding the state's efforts to establish a statewide virtual/digital educational system",20765,2013
LR200,Gloor,,Extend sympathy to the family of Michael W. Wassinger ,20823,2013
LR201,Crawford,Referral,"Interim study to examine policy options available to the State of Nebraska to support military installations, military families, and veterans and their families",20841,2013
LR202,Avery,Referral,Interim study to examine the issue of election day registration,20836,2013
LR203,Haar,,Declare September 17 as Constitution Day in the State of Nebraska,20007,2013
LR204,Brasch,,Extend sympathy to the family of Bill Orr,20835,2013
LR205,Avery,Referral,Interim study to examine the mission and financing options as authorized by current law of the Game and Parks Commission,20859,2013
LR206,Avery,Referral,Interim study to examine the school breakfast program,20862,2013
LR207,Nordquist,Referral,"Interim study to examine the impact of the possession, sale, trade, and distribution of shark fins in the State of Nebraska",20845,2013
LR208,Kolowski,Referral,Interim study to examine security in the public schools,20860,2013
LR209,Dubas,Referral,Interim study to examine the contracts between the Dept. of Health and Human Services and provider agencies for foster care services,20861,2013
LR210,Gloor,,Extend special recognition to the American Cancer Society in celebration of their 100th anniversary,20837,2013
LR211,Kolowski,Referral,"Interim study to examine and define the need for increased access to, and the costs of, quality expanded learning opportunities for K-12 children, focusing on at-risk children",20893,2013
LR212,Kolowski,Referral,Interim study to examine an allowance or aid component within the state aid formula for recognizing the costs of schools districts that encourage teachers to improve their skills and knowledge in order to increase student achievement,20892,2013
LR213,Kolowski,Referral,Interim study to examine the college savings plans administered under the Nebraska educational savings plan trust and ways to increase plan participation,20894,2013
LR214,Carlson,Referral,"Interim study to examine Nebraska's statutes, rules, and regulations relating to the permitting process for small surface water storage reservoirs",20873,2013
LR215,Gloor,Referral,"Interim study to examine issues relating to enforcement and servicing of real estate loans secured by a mortgage, trust deed, or other security instrument",20890,2013
LR216,Gloor,Referral,Interim study to examine the provisions of the Nebraska Capital Expansion Act,20891,2013
LR217,Nordquist,,Extend sympathy to the family of Rich Lang,20879,2013
LR218,Campbell,Referral,Interim study to examine fetal alcohol spectrum disorders,20919,2013
LR219,Nordquist,Referral,Interim study to examine issues relating to student financial aid programs,20880,2013
LR220,Janssen,,Extend sympathy to the family of Arch Lustberg,20883,2013
LR221,Mello,Referral,Interim study to examine the different aspects of the state's wellness program,20911,2013
LR222,Howard,Referral,Interim study to gather information and make recommendations necessary for the Legislature to craft a comprehensive early learning strategy for the State of Nebraska,20921,2013
LR223,Mello,Referral,Interim study to examine issues surrounding open data policies,20936,2013
LR224,Haar,Referral,"Interim study to examine the programs, incentives, and processes, used in other states to stimulate renewable energy projects of less than twenty megawatts that can be added without major additional transmission improvements",20927,2013
LR225,Lathrop,,Recognize the work of Dave Garland and his many contributions to the education of Nebraska's young people,20923,2013
LR226,Brasch,Referral,Interim study to examine concerns surrounding the operation of the Papio-Missouri River Natural Resources District,20777,2013
LR227,Haar,Referral,Interim study to examine issues surrounding midwifery credentialing and safety measures,20886,2013
LR228,Crawford,Referral,Interim study to examine the process by which military spouses and veterans obtain occupational licenses,20926,2013
LR229,Smith,,Recognize Dr. Rick Black for his accomplishments and recognize the forty years he has dedicated to education,20959,2013
LR230,Gloor,,Recognize Ron Bishop for his many achievements in conservation and congratulate him on his retirement,20868,2013
LR231,Gloor,,Recognize Milt Moravek for his many achievements in conservation and congratulate him on his retirement,20869,2013
LR232,Gloor,Referral,"Interim study to examine the process of applying for and attaining health care professional licensing when the applicant has a license, education, or credentialing from states and schools outside of Nebraska",20946,2013
LR233,Harms,Referral,"Interim study to review federal and state laws on the practice of businesses such as gas stations, hotels, or other businesses, placing holds on credit cards for more than the amount of the purchase",20663,2013
LR234,Harms,Referral,"Interim study to examine ways to assist in the development of budget, revenue, and fiscal note projections through comprehensive and targeted economic or demographic evaluations that are conducted in order to enhance policy decision making to ensure a balanced state budget",20793,2013
LR235,Harms,Referral,Interim study to examine the adoption process under the current safe haven law,20661,2013
LR236,Harms,Referral,Interim study to explore methods by which to prevent increases in motor vehicle injuries and fatalities as a result of the increase in the the aging population forecasts,20662,2013
LR237,Campbell,Referral,Interim study to assess the extent to which Nebraska has implemented key provisions of the federal Fostering Connections to Success and Increasing Adoptions Act of 2008,20949,2013
LR238,Dubas,Referral,"Interim study to examine the Access Nebraska system, as well as the separation of the economic assistance programs from the medicaid program",20958,2013
LR239,Howard,Referral,Interim study to examine the Supplemental Nutrition Assistance Program (SNAP),20948,2013
LR240,Pirsch,Referral,Interim study to examine the need for amending the Nebraska Wage Payment and Collection Act relating to payment of PTO benefits when leaving employment,20783,2013
LR241,Campbell,Referral,"Interim study to examine the financial impact of, and financing options for, medicaid expansion under the Patient Protection and Affordable Care Act for medical assistance for newly eligible individuals",20974,2013
LR242,Harms,Referral,Interim study to examine the methods of encouraging transition from adult education to postsecondary education for adults,20990,2013
LR243,Gloor,Referral,Interim study to examine the future of emergency medical services in Nebraska,20992,2013
LR244,Mello,Referral,Interim study to examine issues surrounding the Nebraska Public Safety Communication System,20931,2013
LR245,Mello,Referral,Interim study to examine issues relating to recycling,21019,2013
LR246,Nebraska Retirement Systems Committee,Referral,Interim study to conduct a comparison of the school employees and Class V school employees retirement plans,20956,2013
LR247,Nordquist,Referral,Interim study to examine purchase of service credits in public retirement plans,20954,2013
LR248,Nordquist,Referral,Interim study to examine service requirements in the School Employees Retirement Act,20955,2013
LR249,Kolowski,,Congratulate the Millard West High School girls' soccer team for winning the 2013 Class A state championship,20887,2013
LR250,Harr,Referral,Interim study to examine the State of Nebraska's self-insured workers' compensation plan administered by the Dept. of Administrative Services ,20996,2013
LR251,Nordquist,Referral,Interim study to examine court fees earmarked to generate revenue for the Nebraska Judges Retirement System,20953,2013
LR252,McGill,Referral,Interim study to examine how amendments to the Local Option Municipal Economic Development Act affect existing economic development plans adopted under the act,21029,2013
LR253,McGill,Referral,Interim study to assess the impact of Nebraska changing to a home rule state in matters of local concern,20945,2013
LR254,Christensen,Referral,Interim study to examine the concept of regulating commingled acres relating to surface water and ground water,20971,2013
LR255,Christensen,Referral,"Interim study to examine the concept of moving surface water-only irrigated acres to ground water acres to help compliance with compacts, agreements, and decrees",20964,2013
LR256,Christensen,Referral,Interim study to reexamine the consolidation of the Dept. of Health and Human Services that occurred in 1996 with the enactment of LB1044 ,20963,2013
LR257,Nordquist,Referral,Interim study to examine the early childhood learning and development system across the state to determine how to make the current system more effective,21013,2013
LR258,Krist,Referral,Interim study to examine whether alcohol licensee employees should be certified in how to apply pertinent portions of the Nebr. Liquor Control Act,20941,2013
LR259,Nordquist,Referral,Interim study to examine providing for the utilization of Temporary Assistance for Needy Families (TANF) reserve funds to provide for afterschool programming for children in families that qualify for assistance,20957,2013
LR260,Nordquist,Referral,Interim study to examine existing barriers to the delivery of health care services through telehealth technologies in Nebraska,20951,2013
